EmbeddingID,TestName,AuthorID,Embedding,Timestamp
11, ,james,"[0.7439147131233985,0.621204562105959,0.5153162335675772,0.5566981618951662,0.8335819192855766,0.6167763157894737,0.5093659162521362,0.6314709574654771,0.7101449275362319,0.4652777777777778,0.428125,0.74354127284184,0.4283489096573208,0.516243880729862,0.6701280719972309,0.41125,0.2293083455179932,0,0.0,0.14474642838187968,0.12906556530717606,0.6415819317877247,0.4103372691138649,0.5297090751194092,0.30979693851393414,0.5151984864730166,0.640625,0.288832497782179,0.13020833333333323,0.5257009345794389,0.6087662337662334,0.13888888888888878,0.1562499999999999,0.14534883720930222,0.058962264150943355,0.1953124999999999,0.06510416666666662,0.2929687499999998,0.0,0.0,0.0,0.07812499999999994,0.48363095238095205,0.10775862068965511,0.0,0.0,0.14204545454545445,0.36764705882352916,0.1524390243902438,0.0,0.0,0.14880952380952372,0.0,0.0,0.10775862068965511,0.0,0.0,0.0]",2024-03-30 00:27:09
12, ,james,"[0.7549897297408541,0.6502975643201135,0.6782520620042833,0.5289076128848086,0.8542050737913046,0.5782277960526316,0.38554584980010986,0.7543963484418756,0.6968976449275361,0.3689236111111111,0.4140625,0.7233177582429187,0.384990253411306,0.4316346421609579,0.637643491444661,0.4478260869565217,0.12256353898133358,0,0.0,0.07736584762022652,0.0,0.6761832787301973,0.42386248736097065,0.5245588778146917,0.32996502355901525,0.46908118756155903,0.6595614346590909,0.23236900197513652,0.13563368055555547,0.23729556074766336,0.43120941558441533,0.3038194444444442,0.09765624999999993,0.2725290697674417,0.0737028301886792,0.12207031249999992,0.20345052083333318,0.06103515624999996,0.2441406249999999,0.0,0.0,0.09765624999999993,0.60453869047619,0.0,0.05580357142857139,0.06300403225806447,0.3107244318181816,0.3446691176470586,0.2858231707317071,0.07370283018867921,0.0,0.18601190476190466,0.0,0.0,0.06734913793103443,0.0,0.0,0.0]",2024-03-30 00:27:29
13, ,james,"[0.7176745260712157,0.6333780163302989,0.5696501892184989,0.5208216819730997,0.8737315821840028,0.5677264226556238,0.46571803092956543,0.6169789659850897,0.7055101890679026,0.43993231810490696,0.4010152284263959,0.7540382553353396,0.4050632911392405,0.4629294755877035,0.6514767932489451,0.5306666666666667,0.09996724757283468,0,0.0,0.07970826774007134,0.0,0.6170406284078304,0.5017497745135936,0.5487676477626224,0.39136400431429796,0.5174939187125849,0.6995262267343485,0.26825383519155,0.17625493513818374,0.21348261302718327,0.5273913903355525,0.1692047377326564,0.06345177664974615,0.5312241766025259,0.0,0.0,0.05287648054145512,0.0,0.1586294416243654,0.2538071065989846,0.0,0.1269035532994923,0.6043026347594871,0.0,0.0,0.0,0.17305029995385313,0.38817557479844705,0.3095208617060788,0.04788813332056314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",2024-03-30 00:28:34
14, ,james,"[0.7656213345793861,0.6607189505822761,0.6607802486378805,0.4925855862378047,0.8622907293176288,0.3361505954667691,0.406864196062088,0.7734969434656382,0.6698577316846164,0.37920489296636084,0.4036697247706422,0.7520951221259223,0.3375912408759124,0.39885297184567264,0.6090835360908353,0.56,0.15299982640404314,0.01987281399046105,0.03437459717268938,0.05943271473782744,0.0,0.6609521575984995,0.48296703296703297,0.4697789115646258,0.37417049148976866,0.4915740098628449,0.6147395487723954,0.12084884226809106,0.1267234387672343,0.18759806262364404,0.21329035927576062,0.1622060016220599,0.2737226277372261,0.2121880835172295,0.13772207684891877,0.22810218978102173,0.038017031630170284,0.0,0.0,0.0,0.0912408759124087,0.045620437956204345,0.32586027111574534,0.06292474200855772,0.052137643378519255,0.11773016246762412,0.16589250165892488,0.5367110347788746,0.6231084208652301,0.2754441536978376,0.029915041282756967,0.1737921445950642,0.08370722560771446,0.0,0.25169896803423086,0.11405109489051095,0.15206812652068122,0.0]",2024-03-30 00:30:10
15, ,person,"[0.7400873246298771,0.6249017956866539,0.6640819057477115,0.3429335016850399,0.8628289369991784,0.3010959894014212,0.521510660648346,0.688432101199567,0.6117290192113246,0.24031007751937983,0.47674418604651164,0.6897239679078848,0.2421171171171171,0.3314028314028314,0.5725725725725725,0.8090909090909091,0.2627833914773478,0.1163151364764268,0.08941944425815394,0.0,0.11077632045373981,0.62351801211544,0.6115560588208292,0.3912847764926539,0.5127583339125349,0.4880605453313703,0.7281464530892447,0.05966231131794046,0.2701500127129416,0.26732821488911207,0.37148206484590907,0.4068141367912532,0.25743707093821494,0.07982544835293486,0.129528086006649,0.10726544622425621,0.047673531655224984,0.10726544622425621,0.07151029748283749,0.0,0.17162471395880996,0.028604118993134992,0.6401874250844498,0.039453957231910336,0.09807126511931996,0.22145124381781928,0.41605991262741804,0.40382285637367044,0.39069040575989256,0.12952808600664903,0.0,0.10896807235479998,0.15745386601725694,0.0,0.0,0.0,0.0,0.06730380939363227]",2024-03-30 00:35:21
16, ,Dad,"[0.8459365959908663,0.6514593027435155,0.6158625492382657,0.4914445847931146,0.77709689729265,0.4657661853749418,0.3605966866016388,0.8796622594137354,0.8196276393638386,0.6242197253433209,0.40262172284644193,0.7414376273995924,0.5869175627240143,0.65284178187404,0.7733970529669454,0.6010526315789474,0.1911345217946082,0.016693376068376068,0.11550011550011552,0.0,0.03815628815628816,0.3553002911969046,0.6562724724668045,0.7173026973026974,0.5122459658287178,0.6116948463448209,0.8122551431127013,0.47473236962662296,0.2981514609421584,0.635313393409459,0.3717213019538599,0.1987676406281056,0.13416815742397128,0.0,0.06750599115671511,0.11180679785330941,0.0372689326177698,0.0,0.0,0.0,0.08944543828264753,0.0,0.5750063889598769,0.3701190549626794,0.05111167901865573,0.05770673437590163,0.20328508700601708,0.23150584026097007,0.08726384222697318,0.20251797347014536,0.0,0.0,0.0,0.0,0.0,0.05590339892665474,0.0,0.0]",2024-03-30 00:36:45
17, ,Dad,"[0.7860735826119417,0.6191552070420985,0.46648669916172963,0.49218905698064436,0.7856229475712307,0.3827751196172249,0.40300223231315613,0.6673159386904068,0.7623511664242228,0.5039239983477902,0.4312267657992565,0.7577910391209625,0.5636363636363636,0.5662337662337663,0.7595959595959596,0.4633333333333334,0.14605373247268275,0.035231116121758735,0.0914104634510497,0.0,0.06039619906587212,0.4700489469224719,0.523669699476151,0.6642703533026112,0.4028083660808107,0.5025511632312968,0.7644312652068127,0.650210716435882,0.5575831305758309,0.6821747731768874,0.8057635794862068,0.1622060016220599,0.2737226277372261,0.0848752334068918,0.0,0.0,0.07603406326034057,0.0,0.0,0.0,0.0,0.0,0.3910323253388944,0.0,0.0,0.0,0.16589250165892488,0.34349506225847976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",2024-03-30 00:37:09
18, ,Dad,"[0.757028627948043,0.6340591610713163,0.6767912087186708,0.4828240110939145,0.8826384960372892,0.4589963280293758,0.3538665175437927,0.6977553871128768,0.7411361283643891,0.5059523809523809,0.4017857142857143,0.7669423292120419,0.43248945147679324,0.6268836648583485,0.7135489920300047,0.5611764705882353,0.1209614012168717,0.08451656524678837,0.12791696361676078,0.0,0.10866415531729932,0.5413967427520089,0.5152948813410466,0.6271930882057463,0.44358630850032055,0.5492373964592734,0.7429875995960049,0.4610612792354766,0.3849798625918026,0.5380308072454811,0.581508044194611,0.18952854773750283,0.05330490405117267,0.24792978628452403,0.12069034879510793,0.0,0.04442075337597722,0.0,0.0,0.10660980810234535,0.0,0.10660980810234534,0.32998273936440226,0.07352400558782438,0.0,0.06878052135635183,0.19383601473153697,0.47660855386930856,0.15601435332050537,0.16092046506014393,0.034954035443391936,0.0,0.0,0.050766575286831116,0.0,0.06663113006396588,0.0,0.12542330364612922]",2024-03-30 00:37:30
19, ,Dad,"[0.7518155137831642,0.6479582309511022,0.5128239157266277,0.5409429020800741,0.843747185745474,0.4161382371591629,0.40556371212005615,0.5807439526368855,0.706685931958492,0.38939241356159787,0.4199395770392749,0.7387671066973477,0.4141566265060241,0.49483648881239245,0.6733601070950468,0.47857142857142854,0.13736709733333,0,0.027355290513185252,0.0,0.0,0.6302767354596626,0.4576841069378383,0.5435792466240225,0.3567620303531111,0.494051529223968,0.6656263487268019,0.17952605122476661,0.629405840886203,0.39529039726684895,0.5885353317377483,0.20140986908358496,0.3021148036253774,0.14051851331412904,0.22801117254745465,0.09441087613293045,0.0,0.0,0.0,0.0,0.0,0.0,0.3956265285570419,0.0,0.0,0.0,0.2059873661082119,0.14217167229429525,0.22105961240881278,0.5700279313686368,0.04952701698776682,0.1438641922025607,0.5543390892208764,0.2877283844051214,0.0,0.0,0.0,0.0]",2024-03-30 00:37:52
20, ,Dad,"[0.7916357143308307,0.659013537202789,0.6751409314422997,0.4306257914676009,0.8616601657332307,0.2995293110825845,0.39120668172836304,0.7732249632731393,0.7644927536231885,0.4962962962962963,0.36666666666666664,0.7926737078554613,0.530179445350734,0.6152412025168958,0.7308319738988581,0.45629629629629626,0.13061207846345402,0.032274722437387035,0.08373982037808529,0.0,0.018442698535649733,0.5579119841314966,0.5043438043438043,0.640837971552257,0.38695009314152545,0.5419922811616448,0.723998672940041,0.4213346585568748,0.4297864639884181,0.4414137416664127,0.5710901476373786,0.36192544335866783,0.04071661237785013,0.22725551094614027,0.0,0.05089576547231267,0.03393051031487511,0.0,0.0,0.0,0.16286644951140056,0.0,0.5622770280750733,0.0,0.0,0.0,0.3701510216168194,0.24908986395861257,0.1986176213553665,0.18437711265441573,0.0,0.15511090429657198,0.0,0.15511090429657196,0.05616084465910364,0.10179153094462541,0.0,0.14370569074112685]",2024-03-30 00:38:11
21, ,Dad,"[0.7331832358521958,0.6114426507707845,0.6745292882494077,0.4451064580015257,0.9387767966291006,0.47825681224337435,0.5477292537689209,0.6252545387111013,0.7828795882432615,0.5482866043613707,0.32710280373831774,0.8434689407707722,0.4351687388987566,0.7358538442019793,0.7310045391750543,0.4956521739130435,0.1187657322178856,0,0.11893081200011893,0.0,0.029467232437529467,0.500255532623446,0.46519454808497684,0.6697923442581936,0.4246608301782474,0.6682607968710458,0.7152678571428571,0.2470210438403538,0.4712301587301584,0.2002670226969291,0.3710575139146566,0.47619047619047583,0.22321428571428553,0.041528239202657774,0.06738544474393526,0.22321428571428556,0.037202380952380924,0.0,0.0,0.26785714285714274,0.08928571428571423,0.0,0.4251700680272106,0.0,0.0,0.0,0.4870129870129867,0.21008403361344521,0.2177700348432054,0.23584905660377348,0.08782201405152223,0.08503401360544213,0.0,0.12755102040816318,0.0,0.0,0.0,0.05252100840181661]",2024-03-30 00:39:22
22, ,Dad,"[0.7805613809116055,0.6204399057478839,0.5795593462778152,0.4654610153661691,0.827362762328809,0.5581112163442025,0.4865301847457886,0.7280345609052297,0.7303052384422314,0.5276225946617008,0.4441340782122905,0.7601094557616297,0.47036082474226804,0.6701030927835052,0.6471935853379152,0.3563636363636363,0.12563152744119724,0,0.13760047701498698,0.0,0.030304866961634036,0.6815624214735185,0.39891990960693247,0.5459154246940505,0.28563070231423027,0.6058404482583688,0.6010233145407564,0.3072301495186728,0.8254378409417162,0.313941413702335,0.23490721165139755,0.34453057708871637,0.12919896640826864,0.12018508503094757,0.04875432694651647,0.0807493540051679,0.10766580534022387,0.0,0.0,0.12919896640826867,0.12919896640826867,0.0,0.3076165866863539,0.0,0.0,0.0,0.3523608174770963,0.27359781121751003,0.12604777210562795,0.14626298083954944,0.042360316855170076,0.12304663467454159,0.0,0.0,0.0,0.0,0.0,0.0]",2024-03-30 00:39:40
23, ,Dickins,"[0.6942329350271313,0.6050844669710574,0.6650393506519722,0.3610486635452577,0.8498266903772642,0.368052999631947,0.4871140122413635,0.655819549446776,0.6291348109249105,0.25261495954213536,0.4564831261101243,0.7109254688521824,0.2401372212692967,0.40431266846361186,0.5770916714312941,0.30205128205128207,0.32588249738157204,0.13436732186732187,0.0,0.20092309811935982,0.1425938925938926,0.847829322413047,0.20959072978303753,0.40634920634920624,0.18879492328287506,0.43822338107026626,0.48782908268202385,0.034078129792237004,0.2185314685314684,0.16338801385530347,0.31786395422759045,0.15540015540015528,0.13111888111888104,0.16262806960481369,0.09895764612745737,0.10926573426573419,0.07284382284382279,0.054632867132867094,0.32779720279720265,0.0,0.08741258741258737,0.04370629370629368,0.4578754578754576,0.12056908608632738,0.19980019980019967,0.056395217685540226,0.15893197711379517,0.4936240230357874,0.17056114617090215,0.16492941021242902,0.028659864725438494,0.24975024975024962,0.0,0.041625041625041596,0.12056908608632738,0.0,0.14568764568764564,0.05141916906471556]",2024-03-30 00:47:36
24, ,Dickins,"[0.687983865302018,0.5914991056036465,0.6447187323013537,0.4135870869853396,0.862906920417261,0.47330556607345703,0.5790079236030579,0.5732675817454217,0.5971293199554069,0.14423076923076925,0.4543269230769231,0.6847899878981081,0.1362559241706161,0.3114421123899797,0.5360716166403371,0.5425,0.2563611659742188,0.16578249336870024,0.0,0.22724080087921536,0.17367689781482887,0.8274125168459164,0.32438605994944025,0.3698904538341158,0.31194731979561435,0.3973232093025612,0.6287792842648958,0.047079501585009884,0.3663735678124165,0.15688383872341366,0.3737269924320282,0.10658140154543023,0.11990407673860902,0.22307735207183074,0.1357404642323876,0.07494004796163065,0.0,0.1498800959232613,0.0,0.11990407673860903,0.0,0.0,0.3425830763960258,0.08269246671628208,0.27406646111682065,0.2320724065908562,0.1090037061260082,0.45140358301593986,0.23395917412411515,0.13574046423238761,0.0,0.11419435879867527,0.0,0.05709717939933763,0.2480774001488463,0.0,0.39968025579536354,0.0]",2024-03-30 00:47:59
25, ,Dickins,"[0.6973754975921799,0.5801303163304291,0.5649308116895546,0.2464507846727556,0.8286747324599354,0.2415997621171573,0.9673865437507629,0.6203311086555852,0.6685768863419294,0.2546959567016874,0.39255014326647564,0.7282249964126848,0.23809523809523808,0.4241696678671469,0.6013071895424837,0.5492307692307692,0.25118693301651884,0.09088705768298594,0.0,0.11325490053954634,0.06924728204417976,0.7073409839754803,0.3867749807775883,0.5080602636534838,0.38175422245260926,0.4398094421683364,0.6581812255541069,0.0,0.5100439422473317,0.26400549131421913,0.3668647736444345,0.06277463904582543,0.42372881355932174,0.13138877939823929,0.10659844366272245,0.0,0.0,0.17655367231638405,0.1765536723163841,0.0,0.0,0.0,0.5716976055959103,0.0,0.08071025020177557,0.09112447603426274,0.06420133538777602,0.23263542705217666,0.3444949703734323,0.1598976654940837,0.0,0.0,0.12958067692945627,0.0,0.1948178453146307,0.0,0.0,0.0]",2024-03-30 00:48:23
26, ,Dickins,"[0.7150604521684291,0.6292051024319367,0.6693654699903183,0.39841229843337506,0.8413037679282579,0.3916040100250626,0.5227448344230652,0.6818746834248215,0.5970321612102315,0.17706949977866313,0.48406374501992033,0.6885922390434286,0.19155206286836932,0.31714847039012073,0.5675616677581314,0.6035294117647059,0.27669920528359404,0.1608455882352941,0.01987281399046105,0.08589884551951622,0.15756302521008403,0.7512431614296753,0.412152553329024,0.39063114134542687,0.3593139129815246,0.41233401774949463,0.5962826797385621,0.05204335211230955,0.4409171075837739,0.3152351283192402,0.23191094619666033,0.08818342151675478,0.2976190476190474,0.2307124400147654,0.1871817909553757,0.06200396825396821,0.0,0.12400793650793641,0.49603174603174577,0.0,0.0,0.0,0.3306878306878304,0.06841817186644768,0.28344671201814037,0.1920122887864822,0.09018759018759012,0.42016806722689043,0.38714672861014293,0.18718179095537577,0.03252667187093416,0.18896447467876026,0.0,0.0,0.06841817186644768,0.0,0.0,0.05835667600201845]",2024-03-30 00:48:41
27, ,Dad2,"[0.878529096620831,0.6799917030976902,0.6158625492382657,0.535130612099519,0.7661295153243918,0.44281376518218624,0.2754707932472229,0.8801401284510804,0.8166919447253118,0.642764857881137,0.4113372093023256,0.7160110420979987,0.5755894590846047,0.6380027739251041,0.7649869009092309,0.64,0.18434125970879972,0.02593899149201079,0.15703605660028155,0.0,0.037055702131443984,0.34862839397034817,0.6772997281757827,0.7157071783937458,0.536198588624255,0.6054353311788907,0.8489583333333333,0.5419257653553289,0.3279320987654319,0.6619937694704044,0.3968253968253966,0.30864197530864174,0.13888888888888878,0.0,0.052410901467505204,0.0868055555555555,0.028935185185185164,0.0,0.0,0.0,0.0694444444444444,0.0,0.5952380952380948,0.2873563218390803,0.03968253968253966,0.04480286738351252,0.3156565656565654,0.17973856209150313,0.13550135501355004,0.18343815513626827,0.0,0.0,0.0,0.0,0.0,0.043402777777777776,0.0,0.0]",2024-03-30 13:06:11
28, ,dadchatgpt,"[0.743834251672022,0.6172378001261557,0.6499630687938627,0.41318181538019005,0.844631424522086,0.5015341043190937,0.22324973344802856,0.713801813323891,0.9210876213269512,0.8460754332313964,0.3256880733944954,0.8343437842831574,0.7997762863534675,0.8277404921700224,0.926671638081034,0.4988888888888889,0.15785084966890786,0,0.06433091824344428,0.013903294246538776,0.06375653504484209,0.1827016885553471,0.6888888888888889,0.9676825396825396,0.5609727800089246,0.6756136881217788,0.900213371266003,0.3407558854467606,0.2815315315315314,0.5051780752715329,0.3217503217503216,0.25025025025025005,0.11261261261261253,0.10475591870940701,0.08499065102838681,0.3519144144144142,0.0,0.0,0.0,0.11261261261261254,0.0,0.0,0.4021879021879019,0.0,0.12870012870012862,0.0,0.25593775593775575,0.13248542660307355,0.0,0.12748597654258026,0.03692216806970905,0.0,0.10331432349780974,0.0,0.0,0.0,0.0,0.06624271329958852]",2024-03-30 13:07:38
30, ,shakespear,"[0.5685016403369383,0.4893021990557636,0.2608686270326299,0.3111448235909143,0.7655744017018974,0.37593984962406013,1.0,0,0.6235872889243451,0.14271151885830785,0.4036697247706422,0.8826413860738804,0.20454545454545453,0.49350649350649356,0.5494949494949495,0.7666666666666667,0.3427239701144698,0.10212418300653595,0.0,0.0,0.05835667600373483,0.7001522690812195,0.5295429208472687,0.4038923395445136,0.4767165279475391,0.6023361161921738,0.6875,0.12040939193257073,0.13227513227513218,0.0,0.4947433518862088,0.0,0.23809523809523794,0.0,0.0,0.5952380952380949,0.1984126984126983,0.0,0.0,0.0,0.0,0.0,0.3401360544217685,0.3284072249589489,0.5442176870748296,0.0,0.0,0.0,0.0,0.17969451931716077,0.0,0.0,0.43687199650502406,0.0,0.0,0.0,0.7936507936507935,0.0]",2024-03-30 14:19:58
